"","smiles","drugbank_id","prestwick_ID"
"187","CN(C)CCCN1C2=CC=CC=C2SC2=C1C=C(Cl)C=C2","DB00477","Prestw-64"
"188","CC(N)C12CC3CC(CC(C3)C1)C2","DB00478","Prestw-1331"
"189","NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O","DB00479","Prestw-395"
"190","OC1=CC=C(C=C1)C1=C(C(=O)C2=CC=C(OCCN3CCCCC3)C=C2)C2=C(S1)C=C(O)C=C2","DB00481","Prestw-862"
"191","CC1=CC=C(C=C1)C1=CC(=NN1C1=CC=C(C=C1)S(N)(=O)=O)C(F)(F)F","DB00482","Prestw-1371"
"192","[I-].[I-].[I-].CC[N+](CC)(CC)CCOC1=CC=CC(OCC[N+](CC)(CC)CC)=C1OCC[N+](CC)(CC)CC","DB00483","Prestw-157"
"193","[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C1=C(C)ON=C1C1=C(Cl)C=CC=C1Cl)C(O)=O","DB00485","Prestw-450"
"194","CCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(C=C12)N1CCN(C)CC1","DB00487","Prestw-1303"
"195","CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C","DB00488","Prestw-946"
"196","CC(C)NCC(O)C1=CC=C(NS(C)(=O)=O)C=C1","DB00489","Prestw-966"
"197","O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)C1=NC=CC=N1","DB00490","Prestw-1283"
"198","OCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO","DB00491","Prestw-1169"
"199","CCC(=O)O[C@@H](O[P@](=O)(CCCCC1=CC=CC=C1)CC(=O)N1C[C@@H](C[C@H]1C(O)=O)C1CCCCC1)C(C)C","DB00492","Prestw-1423"
